method,iter,mean_best,sd_best,n,se,ci_low,ci_high
BASS-BO,0,19.801127886295383,0.8821782422967096,25,0.17643564845934193,19.45531401531507,20.146941757275695
BASS-BO,1,19.76223992092119,0.8590736956412229,25,0.17181473912824458,19.42548303222983,20.098996809612547
BASS-BO,2,19.678977082540666,0.9808730446853021,25,0.19617460893706043,19.294474849024027,20.063479316057304
BASS-BO,3,19.58530804523553,1.0036237632225498,25,0.20072475264450995,19.191887530052288,19.97872856041877
BASS-BO,4,19.499639326778347,1.0394887576905933,25,0.20789775153811868,19.092159733763634,19.90711891979306
BASS-BO,5,19.4442037285207,1.0445687894585522,25,0.20891375789171046,19.03473276305295,19.853674693988452
BASS-BO,6,19.291270394294525,1.0915411750344794,25,0.2183082350068959,18.86338625368101,19.71915453490804
BASS-BO,7,19.09776161220894,1.062398730214217,25,0.21247974604284342,18.68130130996497,19.514221914452914
BASS-BO,8,18.957437181518394,1.1386408745801746,25,0.22772817491603492,18.511089958682966,19.40378440435382
BASS-BO,9,18.90000633792201,1.1246822191908208,25,0.22493644383816416,18.45913090799921,19.340881767844813
BASS-BO,10,18.832102682867,1.1368878445172923,25,0.22737756890345845,18.38644264781622,19.277762717917778
BASS-BO,11,18.735949342127206,1.1281053168281239,25,0.22562106336562476,18.293732057930583,19.17816662632383
BASS-BO,12,18.672772365958267,1.1049295311915865,25,0.22098590623831732,18.239639989731163,19.10590474218537
BASS-BO,13,18.552422408518083,1.146369170133686,25,0.2292738340267372,18.103045693825678,19.00179912321049
BASS-BO,14,18.53089975667806,1.1611373864589207,25,0.23222747729178414,18.07573390118616,18.98606561216996
BASS-BO,15,18.390816467340727,1.1492275370100475,25,0.2298455074020095,17.940319272832788,18.841313661848666
BASS-BO,16,18.323004576474624,1.1877580302753419,25,0.23755160605506837,17.85740342860669,18.788605724342556
BASS-BO,17,18.076480374048206,1.5224485729760655,25,0.3044897145952131,17.479680533441588,18.673280214654824
BASS-BO,18,17.93324702423187,1.7250102106633203,25,0.34500204213266406,17.25704302165185,18.609451026811893
BASS-BO,19,17.68180886173797,1.9698069267147302,25,0.39396138534294606,16.909644546465795,18.453973177010145
BASS-BO,20,17.68180886173797,1.9698069267147302,25,0.39396138534294606,16.909644546465795,18.453973177010145
BASS-BO,21,17.573860135134336,1.9413374517303361,25,0.3882674903460672,16.812855854056043,18.33486441621263
BASS-BO,22,17.485211378529517,2.103595660852843,25,0.4207191321705686,16.660601879475202,18.30982087758383
BASS-BO,23,17.28328675687879,2.0567047819519844,25,0.41134095639039686,16.477058482353613,18.08951503140397
BASS-BO,24,17.158385340915906,2.042460042360716,25,0.4084920084721432,16.357741004310505,17.959029677521308
BASS-BO,25,17.08951559346118,1.9781588190145454,25,0.3956317638029091,16.31407733640748,17.86495385051488
BASS-BO,26,17.07603199016288,1.9724749242945299,25,0.394494984858906,16.302821819839423,17.849242160486334
BASS-BO,27,16.873513688817855,1.8859152519515423,25,0.37718305039030847,16.13423491005285,17.61279246758286
BASS-BO,28,16.836832243749544,1.8948503810235473,25,0.37897007620470946,16.094050894388314,17.579613593110775
BASS-BO,29,16.79315622062827,1.852427180802589,25,0.37048543616051777,16.067004765753655,17.519307675502883
BASS-BO,30,16.666762114064937,1.8126413640760342,25,0.36252827281520683,15.956206699347131,17.377317528782743
BASS-BO,31,16.666762114064937,1.8126413640760342,25,0.36252827281520683,15.956206699347131,17.377317528782743
BASS-BO,32,16.626344694204146,1.8440441263136758,25,0.3688088252627352,15.903479396689185,17.349209991719107
BASS-BO,33,16.532952041646244,1.855788986327233,25,0.3711577972654466,15.805482759005969,17.26042132428652
BASS-BO,34,16.532952041646244,1.855788986327233,25,0.3711577972654466,15.805482759005969,17.26042132428652
BASS-BO,35,16.298210162908525,1.7603790467672054,25,0.35207580935344107,15.60814157657578,16.98827874924127
BASS-BO,36,16.10284613763926,1.9457481013013804,25,0.3891496202602761,15.34011288192912,16.865579393349403
BASS-BO,37,15.951558926569419,2.0968652587815324,25,0.41937305175630646,15.129587745127058,16.77353010801178
BASS-BO,38,15.83403793727539,2.076140341514115,25,0.415228068302823,15.020190923401858,16.647884951148924
BASS-BO,39,15.79930705292941,2.0451469845268457,25,0.40902939690536916,14.997609434994887,16.601004670863933
BASS-BO,40,15.768295507353116,2.0070960662412007,25,0.40141921324824015,14.981513849386566,16.555077165319666
BASS-BO,41,15.640457281697783,2.02449525753064,25,0.404899051506128,14.846855140745772,16.434059422649796
BASS-BO,42,15.606778794134582,1.9953641618601556,25,0.3990728323720311,14.824596042685402,16.388961545583765
BASS-BO,43,15.572047909788603,1.9589032759363227,25,0.39178065518726457,14.804157825621564,16.33993799395564
BASS-BO,44,15.062928823870475,2.5018688979738415,25,0.5003737795947683,14.08219621586473,16.04366143187622
BASS-BO,45,15.062928823870475,2.5018688979738415,25,0.5003737795947683,14.08219621586473,16.04366143187622
BASS-BO,46,14.96145591266148,2.4616396117328265,25,0.4923279223465653,13.996493184862212,15.926418640460748
BASS-BO,47,14.887011209517905,2.5263513854687285,25,0.5052702770937457,13.896681466414163,15.877340952621646
BASS-BO,48,14.887011209517905,2.5263513854687285,25,0.5052702770937457,13.896681466414163,15.877340952621646
BASS-BO,49,14.796567770451105,2.511264180095737,25,0.5022528360191474,13.812152211853576,15.780983329048635
BASS-BO,50,14.78559971281668,2.5011452754804404,25,0.5002290550960881,13.805150764828348,15.766048660805012
BASS-BO,51,14.78559971281668,2.5011452754804404,25,0.5002290550960881,13.805150764828348,15.766048660805012
BASS-BO,52,14.78559971281668,2.5011452754804404,25,0.5002290550960881,13.805150764828348,15.766048660805012
BASS-BO,53,14.711155009673103,2.5595381116774747,25,0.5119076223354949,13.707816069895532,15.714493949450674
BASS-BO,54,14.711155009673103,2.5595381116774747,25,0.5119076223354949,13.707816069895532,15.714493949450674
BASS-BO,55,14.674392279646806,2.5336530873624543,25,0.5067306174724908,13.681200269400724,15.667584289892888
BASS-BO,56,14.637629549620508,2.506939362564482,25,0.5013878725128964,13.65490931949523,15.620349779745785
BASS-BO,57,14.57605943014676,2.5222137017070683,25,0.5044427403414137,13.587351659077589,15.56476720121593
BASS-BO,58,14.488562238581439,2.493308187424324,25,0.4986616374848648,13.511185429111103,15.465939048051775
BASS-BO,59,14.25905806769228,2.7194094961658726,25,0.5438818992331745,13.193049545195258,15.325066590189302
BASS-BO,60,13.940892102487368,2.6193403589947803,25,0.5238680717989561,12.914110681761414,14.967673523213321
BASS-BO,61,13.635839009160621,2.4535818921970285,25,0.4907163784394057,12.674034907419387,14.597643110901856
BASS-BO,62,13.521233243159088,2.4649169208844803,25,0.4929833841768961,12.554985810172372,14.487480676145804
BASS-BO,63,13.521233243159088,2.4649169208844803,25,0.4929833841768961,12.554985810172372,14.487480676145804
BASS-BO,64,13.291729072269929,2.6061283805338005,25,0.5212256761067601,12.27012674710068,14.313331397439178
BASS-BO,65,13.291729072269929,2.6061283805338005,25,0.5212256761067601,12.27012674710068,14.313331397439178
BASS-BO,66,13.291729072269929,2.6061283805338005,25,0.5212256761067601,12.27012674710068,14.313331397439178
BASS-BO,67,13.039009119531208,2.667930336494539,25,0.5335860672989078,11.993180427625349,14.084837811437067
BASS-BO,68,12.924403353529675,2.651622767281078,25,0.5303245534562155,11.884967228755492,13.963839478303857
BASS-BO,69,12.876951012811011,2.6047839978133207,25,0.5209567995626642,11.85587568566819,13.898026339953832
BASS-BO,70,12.829871241106481,2.5570388358220173,25,0.5114077671644035,11.827512017464251,13.832230464748712
BASS-BO,71,12.829871241106481,2.5570388358220173,25,0.5114077671644035,11.827512017464251,13.832230464748712
BASS-BO,72,12.829871241106481,2.5570388358220173,25,0.5114077671644035,11.827512017464251,13.832230464748712
BASS-BO,73,12.776835594578696,2.5619589207603926,25,0.5123917841520785,11.772547697640622,13.78112349151677
BASS-BO,74,12.776835594578696,2.5619589207603926,25,0.5123917841520785,11.772547697640622,13.78112349151677
BASS-BO,75,12.736674531720737,2.5370364639419707,25,0.5074072927883941,11.742156237855484,13.73119282558599
BASS-BO,76,12.736674531720737,2.5370364639419707,25,0.5074072927883941,11.742156237855484,13.73119282558599
BASS-BO,77,12.504784157944115,2.279694227628911,25,0.4559388455257822,11.611144020713583,13.398424295174648
BASS-BO,78,12.504784157944115,2.279694227628911,25,0.4559388455257822,11.611144020713583,13.398424295174648
BASS-BO,79,12.504784157944115,2.279694227628911,25,0.4559388455257822,11.611144020713583,13.398424295174648
BASS-BO,80,12.143184066998653,3.3280636650202964,25,0.6656127330040593,10.838583110310697,13.44778502368661
GP-BO,0,19.801127886295383,0.8821782422967096,25,0.17643564845934193,19.45531401531507,20.146941757275695
GP-BO,1,19.76265532537609,0.8794814679403814,25,0.1758962935880763,19.417898589943462,20.10741206080872
GP-BO,2,19.696412911129357,0.876385222839437,25,0.1752770445678874,19.3528699037763,20.039955918482416
