seed,iter,method,best
1001,0,BASS-BO,5.2578803482622645
1001,1,BASS-BO,5.2578803482622645
1001,2,BASS-BO,5.2578803482622645
1001,3,BASS-BO,5.2578803482622645
1001,4,BASS-BO,5.2578803482622645
1001,5,BASS-BO,5.2578803482622645
1001,6,BASS-BO,5.2578803482622645
1001,7,BASS-BO,5.2578803482622645
1001,8,BASS-BO,5.2578803482622645
1001,9,BASS-BO,5.2578803482622645
1001,10,BASS-BO,5.2578803482622645
1001,11,BASS-BO,0.8554143489108466
1001,12,BASS-BO,0.8554143489108466
1001,13,BASS-BO,0.8554143489108466
1001,14,BASS-BO,0.8554143489108466
1001,15,BASS-BO,0.8554143489108466
1001,16,BASS-BO,0.8554143489108466
1001,17,BASS-BO,0.8554143489108466
1001,18,BASS-BO,0.8554143489108466
1001,19,BASS-BO,0.8554143489108466
1001,20,BASS-BO,0.8554143489108466
1001,21,BASS-BO,0.8554143489108466
1001,22,BASS-BO,0.8554143489108466
1001,23,BASS-BO,0.8554143489108466
1001,24,BASS-BO,0.8554143489108466
1001,25,BASS-BO,0.8554143489108466
1001,26,BASS-BO,0.8554143489108466
1001,27,BASS-BO,0.8554143489108466
1001,28,BASS-BO,0.8554143489108466
1001,29,BASS-BO,0.8554143489108466
1001,30,BASS-BO,0.8554143489108466
1001,31,BASS-BO,0.8554143489108466
1001,32,BASS-BO,0.8554143489108466
1001,33,BASS-BO,0.8554143489108466
1001,34,BASS-BO,0.8554143489108466
1001,35,BASS-BO,0.8554143489108466
1001,36,BASS-BO,0.8554143489108466
1001,37,BASS-BO,0.8554143489108466
1001,38,BASS-BO,0.8554143489108466
1001,39,BASS-BO,0.8554143489108466
1001,40,BASS-BO,0.8554143489108466
1001,41,BASS-BO,0.8554143489108466
1001,42,BASS-BO,0.8554143489108466
1001,43,BASS-BO,0.8554143489108466
1001,44,BASS-BO,0.8554143489108466
1001,45,BASS-BO,0.8554143489108466
1001,46,BASS-BO,0.8554143489108466
1001,47,BASS-BO,0.8554143489108466
1001,48,BASS-BO,0.8554143489108466
1001,49,BASS-BO,0.8554143489108466
1001,50,BASS-BO,0.8554143489108466
1001,51,BASS-BO,0.8554143489108466
1001,52,BASS-BO,0.8554143489108466
1001,53,BASS-BO,0.8554143489108466
1001,54,BASS-BO,0.8554143489108466
1001,55,BASS-BO,0.8554143489108466
1001,56,BASS-BO,0.8554143489108466
1001,57,BASS-BO,0.8554143489108466
1001,58,BASS-BO,0.8554143489108466
1001,59,BASS-BO,0.8554143489108466
1001,60,BASS-BO,0.8554143489108466
1001,61,BASS-BO,0.8554143489108466
1001,62,BASS-BO,0.8554143489108466
1001,63,BASS-BO,0.8554143489108466
1001,64,BASS-BO,0.8554143489108466
1001,65,BASS-BO,0.8554143489108466
1001,66,BASS-BO,0.8554143489108466
1001,67,BASS-BO,0.8554143489108466
1001,68,BASS-BO,0.8554143489108466
1001,69,BASS-BO,0.8554143489108466
1001,70,BASS-BO,0.8554143489108466
1001,71,BASS-BO,0.8554143489108466
1001,72,BASS-BO,0.8554143489108466
1001,73,BASS-BO,0.5978834271506379
1001,74,BASS-BO,0.5978834271506379
1001,75,BASS-BO,0.5978834271506379
1001,76,BASS-BO,0.5978834271506379
1001,77,BASS-BO,0.5978834271506379
1001,78,BASS-BO,0.5978834271506379
1001,79,BASS-BO,0.5978834271506379
1001,80,BASS-BO,0.5978834271506379
1001,0,GP-BO,5.2578803482622645
1001,1,GP-BO,5.2578803482622645
1001,2,GP-BO,5.2578803482622645
1001,3,GP-BO,5.2578803482622645
1001,4,GP-BO,3.367412803425239
1001,5,GP-BO,3.367412803425239
1001,6,GP-BO,1.6541498321851975
1001,7,GP-BO,1.6541498321851975
1001,8,GP-BO,1.6541498321851975
1001,9,GP-BO,1.6541498321851975
1001,10,GP-BO,1.6541498321851975
1001,11,GP-BO,1.10730196985058
1001,12,GP-BO,0.41640313202975143
1001,13,GP-BO,0.41640313202975143
1001,14,GP-BO,0.41640313202975143
1001,15,GP-BO,0.41640313202975143
1001,16,GP-BO,0.41640313202975143
1001,17,GP-BO,0.41640313202975143
1001,18,GP-BO,0.41640313202975143
1001,19,GP-BO,0.41640313202975143
1001,20,GP-BO,0.41640313202975143
1001,21,GP-BO,0.41640313202975143
1001,22,GP-BO,0.41640313202975143
1001,23,GP-BO,0.41640313202975143
1001,24,GP-BO,0.41640313202975143
1001,25,GP-BO,0.41640313202975143
1001,26,GP-BO,0.41640313202975143
1001,27,GP-BO,0.41640313202975143
1001,28,GP-BO,0.41640313202975143
1001,29,GP-BO,0.3990684909055169
1001,30,GP-BO,0.3990684909055169
1001,31,GP-BO,0.3990684909055169
1001,32,GP-BO,0.3990684909055169
1001,33,GP-BO,0.3990684909055169
1001,34,GP-BO,0.3990684909055169
1001,35,GP-BO,0.3990684909055169
1001,36,GP-BO,0.3990684909055169
1001,37,GP-BO,0.3990684909055169
1001,38,GP-BO,0.3990684909055169
1001,39,GP-BO,0.3990684909055169
1001,40,GP-BO,0.3990684909055169
1001,41,GP-BO,0.3990684909055169
1001,42,GP-BO,0.3990684909055169
1001,43,GP-BO,0.3990684909055169
1001,44,GP-BO,0.3990684909055169
1001,45,GP-BO,0.3990684909055169
1001,46,GP-BO,0.3990684909055169
1001,47,GP-BO,0.3990684909055169
1001,48,GP-BO,0.3990684909055169
1001,49,GP-BO,0.3990684909055169
1001,50,GP-BO,0.3990684909055169
1001,51,GP-BO,0.3990684909055169
1001,52,GP-BO,0.3990684909055169
1001,53,GP-BO,0.3990684909055169
1001,54,GP-BO,0.3990684909055169
1001,55,GP-BO,0.3990684909055169
1001,56,GP-BO,0.3990684909055169
1001,57,GP-BO,0.3990684909055169
1001,58,GP-BO,0.3990684909055169
1001,59,GP-BO,0.3990684909055169
1001,60,GP-BO,0.3990684909055169
1001,61,GP-BO,0.3990684909055169
1001,62,GP-BO,0.3990684909055169
1001,63,GP-BO,0.3990684909055169
1001,64,GP-BO,0.3990684909055169
1001,65,GP-BO,0.3990684909055169
1001,66,GP-BO,0.3990684909055169
1001,67,GP-BO,0.3990684909055169
1001,68,GP-BO,0.3990684909055169
1001,69,GP-BO,0.39791739766478074
1001,70,GP-BO,0.39791739766478074
1001,71,GP-BO,0.39791739766478074
1001,72,GP-BO,0.39791739766478074
1001,73,GP-BO,0.39791739766478074
1001,74,GP-BO,0.39791739766478074
1001,75,GP-BO,0.39791739766478074
1001,76,GP-BO,0.39791739766478074
1001,77,GP-BO,0.39791739766478074
1001,78,GP-BO,0.39791739766478074
1001,79,GP-BO,0.39791739766478074
1001,80,GP-BO,0.39791739766478074
1001,0,Random,5.2578803482622645
1001,1,Random,5.2578803482622645
1001,2,Random,5.2578803482622645
1001,3,Random,5.2578803482622645
1001,4,Random,5.2578803482622645
1001,5,Random,1.488630790118851
1001,6,Random,1.488630790118851
1001,7,Random,1.488630790118851
1001,8,Random,1.488630790118851
1001,9,Random,1.488630790118851
1001,10,Random,1.488630790118851
1001,11,Random,1.488630790118851
1001,12,Random,1.488630790118851
1001,13,Random,1.488630790118851
1001,14,Random,1.488630790118851
1001,15,Random,1.488630790118851
1001,16,Random,1.488630790118851
1001,17,Random,1.488630790118851
1001,18,Random,1.488630790118851
1001,19,Random,1.488630790118851
1001,20,Random,1.488630790118851
1001,21,Random,0.94614131641403
1001,22,Random,0.94614131641403
1001,23,Random,0.94614131641403
1001,24,Random,0.94614131641403
1001,25,Random,0.94614131641403
1001,26,Random,0.94614131641403
1001,27,Random,0.94614131641403
1001,28,Random,0.94614131641403
1001,29,Random,0.94614131641403
1001,30,Random,0.94614131641403
1001,31,Random,0.94614131641403
1001,32,Random,0.94614131641403
1001,33,Random,0.94614131641403
1001,34,Random,0.94614131641403
1001,35,Random,0.94614131641403
1001,36,Random,0.94614131641403
1001,37,Random,0.94614131641403
1001,38,Random,0.94614131641403
